  CATÁLOGO DE HORARIOS DE APERTURA ACTUALIZADOS;;;;
;;;;
Nº;Nombre del Lugar;Ciudad / Región;Horario de Apertura;Observaciones y Consejos de Viaje
1;Castillo de Osaka;Osaka, Japón;09:00 - 17:00;Última entrada a las 16:30. El parque circundante está abierto 24 horas.
2;Umeda Sky Building;Osaka, Japón;09:30 - 22:30;Última entrada a las 22:00. Excelente mirador nocturno.
3;Shinsaibashi Parco;Osaka, Japón;10:00 - 20:00;Los restaurantes de la planta baja suelen abrir de 11:00 a 23:00.
4;Santuario Namba Yasaka;Osaka, Japón;06:30 - 17:00;Entrada libre. Famoso por su enorme escenario con forma de cabeza de león.
5;Calle Comercial Ebisubashisuji y Dotonbori;Osaka, Japón;24 horas;Zona pública peatonal. Las tiendas abren de 11:00 a 21:00 y restaurantes hasta tarde.
6;Barrio Shinsekai y Torre Tsutenkaku;Osaka, Japón;10:00 - 20:00;"El barrio abre 24h. La torre tiene última entrada a las 19:30; tobogán disponible."
7;Museo de la Vivienda y la Vida de Osaka;Osaka, Japón;10:00 - 17:00;Cerrado los martes. Última entrada a las 16:30. Réplica a escala real del periodo Edo.
8;Cruceros por el río Okawa;Osaka, Japón;10:00 - 16:00;Varía según temporada. Frecuencia aproximada cada 30 minutos.
9;Santuario Sumiyoshi Taisha y Puente Sorihashi;Osaka, Japón;06:00 - 17:00;Uno de los santuarios más antiguos de Japón. El puente Sorihashi es emblemático.
10;Templo Isshinji;Osaka, Japón;05:00 - 16:00;Conocido por sus estatuas de Buda creadas con las cenizas de los difuntos.
11;Mercado Kuromon y Calle Doguyasuji;Osaka, Japón;09:00 - 18:00;Varía según cada puesto. Ideal para comida callejera y utensilios de cocina tradicionales.
12;Nipponbashi (Den Den Town);Osaka, Japón;11:00 - 20:00;Barrio de la electrónica y cultura otaku. Las tiendas varían en su apertura.
13;Namba Parks;Osaka, Japón;11:00 - 21:00;Centro comercial con jardín en la terraza. Restaurantes abiertos hasta las 23:00.
14;Acuario Kaiyukan;Osaka, Japón;10:00 - 20:00;Puede abrir a las 09:00 en fines de semana y festivos. Última entrada 1 hora antes del cierre.
15;Galería comercial Shinsaibashi-suji;Osaka, Japón;11:00 - 20:00;Eje comercial principal techado. Las tiendas individuales definen su horario.
16;Museo de Historia de Osaka;Osaka, Japón;09:30 - 17:00;Cerrado los martes. Ubicado junto al Castillo de Osaka con excelentes vistas.
17;Tsuruhashi Koreatown;Osaka, Japón;10:00 - 18:00;Mercado con fuerte influencia coreana. Restaurantes de barbacoa abren hasta la noche.
18;Santuario Kasuga Taisha;Nara, Japón;06:30 - 17:30;Famoso por sus miles de linternas de bronce y piedra. El jardín botánico abre de 09:00 a 16:30.
19;Templo T?d?i-ji y el Gran Buda (Daibutsu);Nara, Japón;07:30 - 17:30;Horario de verano. Alberga una de las estatuas de Buda de bronce más grandes del mundo.
20;Parque de Nara (Ciervos sagrados);Nara, Japón;24 horas;Parque público de libre acceso donde conviven cientos de ciervos en libertad.
21;Monte Wakakusa;Nara, Japón;09:00 - 17:00;Abierto solo desde el tercer sábado de marzo hasta el segundo domingo de diciembre.
22;Museo Nacional de Nara;Nara, Japón;09:30 - 17:00;Cerrado los lunes. Especializado en arte budista clásico.
23;Jardín Isuien;Nara, Japón;09:30 - 16:30;Cerrado los martes. Jardín japonés tradicional dividido en dos secciones.
24;Palacio Imperial de Kioto;Kioto, Japón;09:00 - 17:00;Cerrado los lunes. Requiere pasar control de seguridad a la entrada.
25;Castillo de Nijo;Kioto, Japón;08:45 - 17:00;Última entrada a las 16:00. Famoso por sus suelos de ruiseñor que 'cantan'.
26;Torre de Kioto;Kioto, Japón;10:00 - 21:00;Mirador panorámico de la ciudad antigua. Último acceso a las 20:40.
27;Calle Comercial Kawaramachi;Kioto, Japón;11:00 - 21:00;Principal arteria comercial moderna de Kioto con grandes almacenes.
28;Templo T?-ji;Kioto, Japón;08:00 - 17:00;Posee la pagoda de madera más alta de Japón. El recinto exterior abre a las 05:00.
29;Templo Sanj?sangen-d?;Kioto, Japón;08:00 - 17:00;Famoso por sus 1001 estatuas de Kannon. Cierra a las 16:00 de noviembre a marzo.
30;Río Kamo (Kamo-gawa);Kioto, Japón;24 horas;Paseo público idóneo al atardecer. En verano se montan plataformas 'kawayuka' para cenar.
