| Archivo a descargar | Día | Actividad / Contexto |
| :--- | :--- | :--- |
| `dia3-itinerario-base.jpg` | 3 | Castillo de Osaka |
| `dia6-despliegue-capital-imperial.jpg` | 6 | Castillo de Nijo |
| `dia8-itinerario-base-1.jpg` | 8 | Templo Tenryu-ji |
| `dia8-itinerario-base-2.jpg` | 8 | Parque Iwatayama |
| `dia8-itinerario-base.jpg` | 8 | Bosque de Bambú |
| `dia10-itinerario-base-1.jpg` | 10 | Check-out y Takkyubin |
| `dia10-itinerario-base.jpg` | 10 | 🍃 Kioto: Últimas Compras y Zen |
| `dia11-itinerario-base-1.jpg` | 11 | Cena Kaiseki |
| `dia11-itinerario-base.jpg` | 11 | Llegada al Ryokan |
| `dia12-itinerario-base.jpg` | 12 | Almuerzo: Ternera de Hida |
| `dia12-yatai-kaikan.jpg` | 12 | Yatai Kaikan |
| `dia14-5-estaci-n-fuji.jpg` | 14 | 5ª Estación Fuji |
| `dia14-itinerario-base.jpg` | 14 | Aproximación al Fuji |
| `dia15-honcho-street.jpg` | 15 | Honcho Street |
| `dia15-itinerario-base.jpg` | 15 | Hoto Noodles |
| `dia17-calle-kappabashi-cocineros.jpg` | 17 | Calle Kappabashi (Cocineros) |
| `dia20-itinerario-base-1.jpg` | 20 | Mercado Ameyoko |
| `dia20-itinerario-base-2.jpg` | 20 | Parque Ueno y Estanque Shinobazu |
| `dia20-itinerario-base.jpg` | 20 | 🍃 Ueno, Yanaka y Nakano |
| `dia20-museo-nacional-de-tokio-ueno.jpg` | 20 | Yanaka Ginza (Barrio Gato) |
| `dia22-itinerario-base.jpg` | 22 | 🏙️ Toyosu, Ginza y Roppongi |
| `dia22-teatro-kabuki-za-desde-fuera.jpg` | 22 | La Avenida Principal de Ginza (Chuo Dori) |
| `dia23-itinerario-base-1.jpg` | 23 | Compras Finales (Don Quijote o Akihabara) |
| `dia23-itinerario-base.jpg` | 23 | ✈️ Sayonara Japón |
| `dia23-terminal-3-internacional-haneda.jpg` | 23 | Operación Traslado: Taxis a Haneda |
